kayit_ts,tarih,pist,seq,ilk_saat,config,ayak,kosu_no,race_kod,saat,secim,banker,nat,kazanan,tuttu,sonuclandi
2026-07-21 13:30,2026-07-21,ANKARA,1,14:00,orta,4,4,226306,15:30,"2,7",0,2,8.0,0.0,2026-07-22
2026-07-21 13:30,2026-07-21,ANKARA,1,14:00,orta,5,5,226304,16:00,"9,10",0,2,5.0,0.0,2026-07-22
2026-07-21 13:30,2026-07-21,ANKARA,1,14:00,orta,6,6,226311,16:30,"1,5,6",0,3,3.0,0.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,1,1,226331,14:30,6,0,1,9.0,0.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,2,2,226334,15:00,2,1,1,2.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,3,3,226340,15:30,"3,4",0,2,5.0,0.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,4,4,226333,16:00,"1,5",0,2,1.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,5,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,6,6,226330,17:00,"6,8",0,2,8.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,1,1,226331,14:30,"1,6",0,2,9.0,0.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,2,2,226334,15:00,2,1,1,2.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,3,3,226340,15:30,"3,4",0,2,5.0,0.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,4,4,226333,16:00,"1,4,5",0,3,1.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,5,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,6,6,226330,17:00,"2,6,8",0,3,8.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,1,3,226340,15:30,9,0,1,5.0,0.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,2,4,226333,16:00,1,0,1,1.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,3,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,4,6,226330,17:00,"6,8",0,2,8.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,5,7,226326,17:30,"2,4",0,2,2.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,6,8,226338,18:00,"4,15",0,2,10.0,0.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,1,3,226340,15:30,"4,9",0,2,5.0,0.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,2,4,226333,16:00,"1,5",0,2,1.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,3,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,4,6,226330,17:00,"6,8",0,2,8.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,5,7,226326,17:30,"2,4",0,2,2.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,6,8,226338,18:00,"2,4,15",0,3,10.0,0.0,2026-07-22
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,1,1,226352,14:30,3,0,1,4.0,0.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,2,2,226341,15:00,2,0,1,3.0,0.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,3,3,226344,15:30,"1,4",0,2,1.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,4,4,226354,16:00,"1,3",0,2,3.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,5,5,226343,16:30,"2,7",0,2,7.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,6,6,226342,17:00,"1,2",0,2,1.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,1,1,226352,14:30,"3,4",0,2,4.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,2,2,226341,15:00,"2,4",0,2,3.0,0.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,3,3,226344,15:30,"1,4",0,2,1.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,4,4,226354,16:00,"1,3",0,2,3.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,5,5,226343,16:30,"1,2,7",0,3,7.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,6,6,226342,17:00,"1,2",0,2,1.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,1,3,226344,15:30,4,0,1,1.0,0.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,2,4,226354,16:00,"1,3",0,2,3.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,3,5,226343,16:30,"2,7",0,2,7.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,4,6,226342,17:00,"1,2",0,2,1.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,5,7,226345,17:30,2,1,1,2.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,6,8,226348,18:00,"4,5",0,2,5.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,orta,1,3,226344,15:30,"1,4",0,2,1.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,orta,2,4,226354,16:00,"1,3",0,2,3.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,orta,3,5,226343,16:30,"2,7",0,2,7.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,orta,4,6,226342,17:00,"1,2,3",0,3,1.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,orta,5,7,226345,17:30,2,1,1,2.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,orta,6,8,226348,18:00,"4,5,6",0,3,5.0,1.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,dar,1,1,226353,17:45,2,0,1,3.0,0.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,dar,2,2,226350,18:30,1,0,1,1.0,1.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,dar,3,3,226355,19:00,"5,6",0,2,3.0,0.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,dar,4,4,226351,19:30,"8,9",0,2,9.0,1.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,dar,5,5,226346,20:00,"4,7",0,2,3.0,0.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,dar,6,6,226349,20:30,"6,7",0,2,5.0,0.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,orta,1,1,226353,17:45,"2,10",0,2,3.0,0.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,orta,2,2,226350,18:30,"1,3",0,2,1.0,1.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,orta,3,3,226355,19:00,"5,6",0,2,3.0,0.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,orta,4,4,226351,19:30,"8,9",0,2,9.0,1.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,orta,5,5,226346,20:00,"4,7",0,2,3.0,0.0,2026-07-23
2026-07-23 17:15,2026-07-23,KOCAELI,1,17:45,orta,6,6,226349,20:30,"4,6,7",0,3,5.0,0.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,dar,1,3,226355,19:00,3,0,1,3.0,1.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,dar,2,4,226351,19:30,9,0,1,9.0,1.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,dar,3,5,226346,20:00,"4,7",0,2,3.0,0.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,dar,4,6,226349,20:30,"6,7",0,2,5.0,0.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,dar,5,7,226347,21:00,"2,8",0,2,2.0,1.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,dar,6,8,226356,21:30,"5,9",0,2,10.0,0.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,orta,1,3,226355,19:00,"3,4",0,2,3.0,1.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,orta,2,4,226351,19:30,"9,11",0,2,9.0,1.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,orta,3,5,226346,20:00,"4,7",0,2,3.0,0.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,orta,4,6,226349,20:30,"6,7",0,2,5.0,0.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,orta,5,7,226347,21:00,"2,8",0,2,2.0,1.0,2026-07-23
2026-07-23 18:31,2026-07-23,KOCAELI,2,19:00,orta,6,8,226356,21:30,"5,7,9",0,3,10.0,0.0,2026-07-23
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,dar,1,1,226368,13:00,5,0,1,1.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,dar,2,2,226358,13:30,"5,9",0,2,9.0,1.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,dar,3,3,226373,14:00,"1,5",0,2,13.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,dar,4,4,226361,14:30,6,1,1,5.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,dar,5,5,226369,15:00,"1,10",0,2,6.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,dar,6,6,226371,15:30,"4,6",0,2,4.0,1.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,orta,1,1,226368,13:00,"5,6",0,2,1.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,orta,2,2,226358,13:30,"5,9",0,2,9.0,1.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,orta,3,3,226373,14:00,"1,5",0,2,13.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,orta,4,4,226361,14:30,6,1,1,5.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,orta,5,5,226369,15:00,"1,3,10",0,3,6.0,0.0,2026-07-24
2026-07-24 12:30,2026-07-24,BURSA,1,13:00,orta,6,6,226371,15:30,"4,6,7",0,3,4.0,1.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,dar,1,6,226371,15:30,6,0,1,6.0,1.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,dar,2,7,226367,16:00,2,0,1,1.0,0.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,dar,3,8,226370,16:30,"1,2",0,2,5.0,0.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,dar,4,9,226362,17:00,"1,3",0,2,3.0,1.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,dar,5,10,226379,17:30,"10,11",0,2,3.0,0.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,dar,6,11,226374,18:00,"3,10",0,2,8.0,0.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,orta,1,6,226371,15:30,"1,6",0,2,6.0,1.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,orta,2,7,226367,16:00,"2,8",0,2,1.0,0.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,orta,3,8,226370,16:30,"1,2",0,2,5.0,0.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,orta,4,9,226362,17:00,"1,3",0,2,3.0,1.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,orta,5,10,226379,17:30,"10,11",0,2,3.0,0.0,2026-07-24
2026-07-24 15:00,2026-07-24,BURSA,2,15:30,orta,6,11,226374,18:00,"3,4,10",0,3,8.0,0.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,dar,1,1,226359,16:45,1,0,1,13.0,0.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,dar,2,2,226372,17:15,10,0,1,5.0,0.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,dar,3,3,226378,17:45,"3,7",0,2,3.0,1.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,dar,4,4,226363,18:30,"2,4",0,2,4.0,1.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,dar,5,5,226366,19:00,"4,5",0,2,9.0,0.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,dar,6,6,226360,19:30,"7,8",0,2,7.0,1.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,orta,1,1,226359,16:45,"1,9",0,2,13.0,0.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,orta,2,2,226372,17:15,"7,10",0,2,5.0,0.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,orta,3,3,226378,17:45,"3,7",0,2,3.0,1.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,orta,4,4,226363,18:30,"2,4",0,2,4.0,1.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,orta,5,5,226366,19:00,"4,5",0,2,9.0,0.0,2026-07-24
2026-07-24 16:15,2026-07-24,ISTANBUL,1,16:45,orta,6,6,226360,19:30,"3,7,8",0,3,7.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,1,5,226366,19:00,1,0,1,9.0,0.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,2,6,226360,19:30,7,0,1,7.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,3,7,226365,20:00,"2,4",0,2,3.0,0.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,4,8,226364,20:30,"1,6",0,2,6.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,5,9,226357,21:00,"1,2",0,2,1.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,6,10,226375,21:30,"5,11",0,2,2.0,0.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,1,5,226366,19:00,"1,9",0,2,9.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,2,6,226360,19:30,"7,8",0,2,7.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,3,7,226365,20:00,"2,4",0,2,3.0,0.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,4,8,226364,20:30,"1,6",0,2,6.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,5,9,226357,21:00,"1,2",0,2,1.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,6,10,226375,21:30,"5,9,11",0,3,2.0,0.0,2026-07-24
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,1,2,226387,15:00,6,0,1,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,2,3,226386,15:30,3,0,1,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,3,4,226380,16:00,"2,7",0,2,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,4,5,226381,16:30,"2,3",0,2,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,5,6,226384,17:00,"1,6",0,2,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,6,7,226385,17:30,"4,11",0,2,4.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,1,2,226387,15:00,"6,7",0,2,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,2,3,226386,15:30,"3,9",0,2,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,3,4,226380,16:00,"2,7",0,2,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,4,5,226381,16:30,"2,3",0,2,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,5,6,226384,17:00,"1,6",0,2,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,6,7,226385,17:30,"4,7,11",0,3,4.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,1,2,226387,15:00,"6,7",0,2,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,2,3,226386,15:30,"3,9",0,2,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,3,4,226380,16:00,"2,7,8",0,3,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,4,5,226381,16:30,"2,3,4",0,3,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,5,6,226384,17:00,"1,6",0,2,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,6,7,226385,17:30,"4,7,11",0,3,4.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,1,2,226387,15:00,"5,6,7",0,3,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,2,3,226386,15:30,"2,3,9",0,3,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,3,4,226380,16:00,"2,7,8",0,3,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,4,5,226381,16:30,"2,3,4",0,3,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,5,6,226384,17:00,"1,2,6",0,3,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,6,7,226385,17:30,"4,7,11",0,3,4.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,1,2,226401,18:00,7,0,1,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,2,3,226393,18:30,"7,8",0,2,7.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,3,4,226392,19:00,"1,2",0,2,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,4,5,226391,19:30,2,1,1,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,5,6,226390,20:00,"1,2",0,2,1.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,6,7,226399,20:30,"2,4",0,2,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,1,2,226401,18:00,"2,7",0,2,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,2,3,226393,18:30,"7,8",0,2,7.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,3,4,226392,19:00,"1,2",0,2,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,4,5,226391,19:30,2,1,1,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,5,6,226390,20:00,"1,2,5",0,3,1.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,6,7,226399,20:30,"2,4,6",0,3,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,1,2,226401,18:00,"2,4,7",0,3,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,2,3,226393,18:30,"6,7,8",0,3,7.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,3,4,226392,19:00,"1,2,12",0,3,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,4,5,226391,19:30,2,1,1,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,5,6,226390,20:00,"1,2,5",0,3,1.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,6,7,226399,20:30,"2,4,6",0,3,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis900,1,2,226401,18:00,"2,4,7",0,3,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis900,2,3,226393,18:30,"6,7,8,9",0,4,7.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis900,3,4,226392,19:00,"1,2,6,12",0,4,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis900,4,5,226391,19:30,2,1,1,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis900,5,6,226390,20:00,"1,2,3,5",0,4,1.0,1.0,2026-07-25
